call_id,profanity_regex,profanity_ml,privacy_regex,privacy_llm
2db2965e-54fa-41fa-823b-ed79b943f0b1,"{'is_agent_profane': False, 'is_customer_profane': False}","{'is_agent_profane': False, 'is_customer_profane': False}","{'violation': False, 'reason': 'Sensitive information not shared.', 'sensitive': [], 'verification': []}","{'violation': False, 'reason': 'No sensitive information was shared by the agent, and no personal identifiers were improperly disclosed. The agent only acknowledged processing a do not call request, which does not require prior verification in this context.'}"
8a9655a7-be88-4921-b0ad-04aa1b9953d1,"{'is_agent_profane': False, 'is_customer_profane': False}","{'is_agent_profane': False, 'is_customer_profane': False}","{'violation': False, 'reason': 'Verification done before sharing sensitive info.', 'sensitive': [3], 'verification': [1, 2, 3]}","{'violation': False, 'reason': ""Sensitive financial information (balance amount) was only shared after the customer's identity was successfully verified through date of birth and address.""}"
19169ec6-213f-48e9-8ec2-c24ee2e6eb20,"{'is_agent_profane': False, 'is_customer_profane': False}","{'is_agent_profane': False, 'is_customer_profane': False}","{'violation': False, 'reason': 'Sensitive information not shared.', 'sensitive': [], 'verification': []}","{'violation': False, 'reason': ""The mention of 'outstanding balance with XYZ Bank' is exempt per Rule 5, which states such opening messages can be ignored and do not imply sensitive information being given. No other sensitive information was shared, and the verification of the phone number was performed appropriately.""}"
c86714f0-3aeb-4628-8cfa-ee0a46839508,"{'is_agent_profane': False, 'is_customer_profane': False}","{'is_agent_profane': False, 'is_customer_profane': False}","{'violation': False, 'reason': 'Verification done before sharing sensitive info.', 'sensitive': [3], 'verification': [1, 2, 3]}","{'violation': False, 'reason': ""Sensitive information (outstanding balance) was shared only after the customer's identity was successfully verified with their Date of Birth and address.""}"
0c8297aa-ced1-414e-a175-bf29a9763d30,"{'is_agent_profane': False, 'is_customer_profane': False}","{'is_agent_profane': False, 'is_customer_profane': False}","{'violation': False, 'reason': 'Verification done before sharing sensitive info.', 'sensitive': [3, 4], 'verification': [1, 2]}","{'violation': False, 'reason': 'The agent requested and received identity verification (Date of Birth and address) before disclosing sensitive information (outstanding balance of $250). No sensitive information was shared without prior verification.'}"
89ab3694-2c42-46bc-a602-c545511bf36e,"{'is_agent_profane': False, 'is_customer_profane': False}","{'is_agent_profane': False, 'is_customer_profane': False}","{'violation': False, 'reason': 'Verification done before sharing sensitive info.', 'sensitive': [3], 'verification': [1, 3]}","{'violation': False, 'reason': ""Customer's identity was verified using date of birth and address before the agent disclosed sensitive information regarding the outstanding balance. Payment details were provided by the verified customer to process a transaction.""}"
94ecf497-5959-44ec-a011-92af3709c38c,"{'is_agent_profane': False, 'is_customer_profane': False}","{'is_agent_profane': False, 'is_customer_profane': False}","{'violation': False, 'reason': 'Verification done before sharing sensitive info.', 'sensitive': [3, 5], 'verification': [2]}","{'violation': False, 'reason': 'Sensitive information (balance amount) was shared by the agent only after the customer successfully verified their identity by confirming their address.'}"
87e28dae-2c70-4122-9452-6ec82164fab2,"{'is_agent_profane': True, 'is_customer_profane': False}","{'is_agent_profane': True, 'is_customer_profane': False}","{'violation': False, 'reason': 'Verification done before sharing sensitive info.', 'sensitive': [3], 'verification': [1]}","{'violation': False, 'reason': ""Sensitive financial information ($850) was disclosed after the customer provided personal identifiers (DOB and address) and the agent indicated verification was complete ('Fine.'). Therefore, sensitive information was not shared before or without verification.""}"
80e5fe02-ec03-4ca5-902a-fdf38e6b7b8a,"{'is_agent_profane': False, 'is_customer_profane': False}","{'is_agent_profane': False, 'is_customer_profane': False}","{'violation': False, 'reason': 'Sensitive information not shared.', 'sensitive': [], 'verification': []}","{'violation': True, 'reason': 'Agent disclosed the existence of an outstanding balance on an American Airlines account to an unverified third party.'}"
3e6dde01-1a46-42b4-92dd-0a211185e660,"{'is_agent_profane': False, 'is_customer_profane': True}","{'is_agent_profane': False, 'is_customer_profane': True}","{'violation': False, 'reason': 'Sensitive information not shared.', 'sensitive': [], 'verification': [1, 2, 3, 4]}","{'violation': False, 'reason': ""The agent did not share any sensitive information or personal identifiers. The agent consistently attempted to verify the customer's identity before offering to discuss account details, adhering to privacy protocols.""}"
22dd8271-02f8-46bf-bd4e-28c0692b57d1,"{'is_agent_profane': False, 'is_customer_profane': False}","{'is_agent_profane': False, 'is_customer_profane': False}","{'violation': False, 'reason': 'Verification done before sharing sensitive info.', 'sensitive': [3], 'verification': [1, 2]}","{'violation': False, 'reason': 'Sensitive financial information (balance) was disclosed by the agent only after the customer successfully provided personal identifiers (date of birth and address) for verification.'}"
acec9db1-1209-4f98-881e-6d413e1aba2d,"{'is_agent_profane': False, 'is_customer_profane': False}","{'is_agent_profane': False, 'is_customer_profane': False}","{'violation': False, 'reason': 'Sensitive information not shared.', 'sensitive': [], 'verification': [3]}","{'violation': True, 'reason': ""The agent disclosed the specific financial balance ('two hundred fifty dollars') and confirmed payment details after only receiving the customer's full name. A full name alone is not considered sufficient 'unique identity data' for verification before sharing sensitive financial information according to the provided rules.""}"
